CD_GEOCODI,SHOPPING,TERMINAL,wifi
355030861000145,0,0,1
355030861000143,0,0,0
355030842000279,0,0,0
355030811000388,0,0,0
355030813000228,0,0,0
355030851000178,0,0,0
355030881000323,0,0,0
355030839000152,0,0,0
355030839000140,0,0,1
355030892000221,0,0,1
355030889000179,0,0,1
355030859000206,1,1,1
355030818000208,0,0,1
355030818000207,0,0,0
355030828000171,0,0,0
355030887000227,0,0,0
355030874000148,0,1,1
355030844000222,0,0,1
355030844000219,0,0,0
355030844000224,0,0,0
355030836000345,0,0,0
355030836000342,0,0,1
355030836000355,0,0,0
355030836000346,0,0,0
355030896000234,0,0,1
355030896000247,0,0,0
355030831000169,0,0,1
355030831000168,0,0,0
355030825000312,0,0,0
355030825000338,0,0,1
355030833000218,0,0,0
355030875000203,0,0,0
355030875000212,0,0,0
355030875000204,0,0,1
355030873000221,0,0,0
355030876000377,0,0,0
355030876000381,0,1,0
355030876000383,0,0,0
355030876000364,0,0,0
355030872000190,0,0,0
355030893000161,0,0,0
355030893000155,0,0,0
355030893000162,1,1,1
355030834000165,0,0,0
355030868000345,0,0,0
355030868000349,0,0,0
355030868000344,0,0,1
355030868000353,0,0,0
355030827000184,0,0,1
355030838000400,0,1,0
355030822000375,0,0,0
355030822000380,0,0,1
355030858000260,0,0,0
355030858000251,0,0,0
355030858000261,0,0,1
355030830000421,0,0,0
355030830000676,0,0,0
355030830000685,0,0,0
355030855000321,0,0,1
355030852000071,0,0,1
355030855000334,0,0,1
355030855000336,0,1,0
355030843000413,0,0,0
355030843000405,0,0,0
355030843000406,0,0,1
355030843000410,0,0,0
355030819000397,0,0,0
355030819000392,0,0,0
355030819000416,0,0,0
355030817000328,0,0,1
355030817000315,0,1,0
355030817000323,0,0,0
355030894000268,1,0,0
355030894000270,1,0,0
355030865000221,0,0,1
355030865000218,0,0,0
355030865000222,0,0,0
355030867000271,0,0,1
355030867000267,0,0,0
355030841000105,0,0,1
355030888000072,0,0,1
355030840000035,0,0,1
355030895000125,0,0,0
355030842000276,0,0,0
355030803000119,0,1,1
355030803000121,0,0,0
355030842000288,0,0,0
355030842000284,1,0,0
355030842000290,0,0,0
355030811000390,0,0,0
355030811000389,0,0,1
355030811000366,0,0,0
355030811000380,0,0,0
355030813000227,0,0,0
355030813000218,0,0,0
355030851000183,1,0,0
355030851000184,0,0,1
355030882000175,0,0,0
355030881000318,0,0,1
355030881000325,0,0,0
355030881000322,0,0,0
355030882000171,0,0,0
355030892000214,0,0,0
